objectid,f_id,id,content,co_oridinate1,co_oridinate2,pubtime,comment_,like_,transfer,tools
9836658,1955642870-M_FBsfMl5K6,1955642870,#探出小脑袋# 到北京了  北京  ???,39.900501,116.484879,2017/12/26 18:04,0,0,0,
9897144,1955642870-M_FBIY5wmdL,1955642870,#大咖随手拍# 好汉就是我，我就是好汉。  北京·万里长城·八达岭  ???,40.356033,116.01387,2017/12/28 12:37,3,2,0,
9927970,1955642870-M_FBQkF3JtE,1955642870,我以为我很早了  北京·天安门广场  ???,39.906021,116.397659,2017/12/29 7:22,0,0,0,
5836209,1955723915-M_FifzTxa20,1955723915,整装待发[微风]  北京·三里屯  ???,39.93618,116.456413,2017/8/22 10:52,0,0,0,iPhone 6 Plus
5847989,1955723915-M_FijbFuN0N,1955723915,故地复游????  北京·南锣鼓巷(冒儿胡同)  ???,39.934803,116.403168,2017/8/22 20:03,0,0,0,iPhone 6 Plus
5861886,1955723915-M_FioEr9AQt,1955723915,【赛43:18】耶和华如此说：“你们不要记念从前的事，也不要思想古时的事。 【赛43:19】看哪，我要作一件新事，如今要发现，你们岂不知道吗？我必在旷野开道路，在沙漠开江河。 【赛43:20】野地的走兽必尊重我，野狗和鸵鸟也必如此。因我使旷野有水，使沙漠有河，好赐给我的百姓、我的选民喝。  ???? 全文,39.933979,116.456963,2017/8/23 9:58,0,0,0,iPhone 6 Plus
5903348,1955723915-M_FiATfyPTM,1955723915,长城[照相机] 体味??  北京·万里长城·八达岭  ???,40.356033,116.01387,2017/8/24 17:07,0,0,0,iPhone 6 Plus
6675410,1955906651-M_FmEv4uzIB,1955906651,朕的江山[芒果萌萌哒][芒果萌萌哒]  北京故宫博物院  ???,39.908802,116.397751,2017/9/20 9:40,12,2,0,iPhone 6 Plus
6684582,1955906651-M_FmH6qp4gw,1955906651,#爱你的形状#  我不知道这个地方是干啥的 反正我看不懂  北京·798艺术区  ???,39.986221,116.493439,2017/9/20 16:17,1,0,0,iPhone 6 Plus
6687060,1955906651-M_FmHKugpBj,1955906651,传说中的大学 突然觉得我的大学好像小学  北京·传媒大学  ???,39.915581,116.553658,2017/9/20 17:56,5,1,0,iPhone 6 Plus
6746549,1955906651-M_Fn0s3brdL,1955906651,朕的大清江山  北京·马家堡  ???,39.842731,116.386482,2017/9/22 17:33,0,0,0,iPhone 6 Plus
6746667,1955906651-M_Fn0tNngBq,1955906651,两个大学都看过了 可以考虑下小孩以后该上哪个了[思考][思考]  ???  北京·清华园  ???,40.0009,116.324173,2017/9/22 17:37,7,0,0,iPhone 6 Plus
6786695,1955906651-M_Fnb6GgxMT,1955906651,画面太美 肉眼无法透视  北京·798 尤仑斯 咖啡馆  ???,39.98447,116.490181,2017/9/23 20:40,1,1,0,iPhone 6 Plus
8221829,1956229973-M_Fu88hdRTC,1956229973,有故事[酷]  北京·什刹海风景区  ???,39.939178,116.39476,2017/11/8 13:58,0,0,0,
8245274,1956229973-M_FufyUcxFA,1956229973,特朗普今日去长城了 所以我可以来故宫啦  北京·故宫  ???,39.915642,116.396973,2017/11/9 8:53,2,3,0,
8643879,1956229973-M_FwfkJxM9s,1956229973,当初考不上清华   现在来北京圆梦。[干杯]  北京·清华大学  ???,39.999329,116.315361,2017/11/22 11:59,0,1,0,
8710935,1956229973-M_FwyJ86twN,1956229973,冷得直哆嗦…  北京·颐和园  ???,39.998241,116.278511,2017/11/24 13:21,0,0,0,
8849650,1956229973-M_FxaVIu6yq,1956229973,这个是？  北京·天安门广场  ???,39.906021,116.397659,2017/11/28 14:36,0,0,0,
8925683,1956229973-M_FxxfdFisR,1956229973,不要只羡慕别人的光鲜亮丽，你可知道他们付出了多少努力。[给力] 比你优秀的人还在努力着呢。  京东集团总部  ???,39.786045,116.559425,2017/11/30 23:25,0,2,0,
6116460,1956461602-M_FjGfFvF4n,1956461602,北京，北京  北京·什刹海公园  ???,39.94093263,116.3794261,2017/8/31 20:37,0,0,0,三星android智能手机
6125326,1956461602-M_FjJpZFUxd,1956461602,三点二十起来，只为了看一次升国旗，看一次让国旗升起来的人。  北京·南河沿大街  ???,39.9099,116.40668,2017/9/1 4:40,0,1,0,三星android智能手机
6129528,1956461602-M_FjLvfqvAc,1956461602,不到长城非好汉  北京·水关长城  ???,40.338284,116.03803,2017/9/1 9:59,0,0,0,三星android智能手机
8727758,1956489541-M_FwCkDuqsD,1956489541,我是好汉了[嘻嘻]  北京  ???,39.893181,116.397003,2017/11/24 22:32,3,5,0,
8727808,1956489541-M_FwCl2fUim,1956489541,错有错着，来了一个比故宫都有韵味的四合院[憧憬]  北京·前门大栅栏  ???,39.895691,116.391296,2017/11/24 22:33,0,5,0,
8755555,1956489541-M_FwKxsb6tI,1956489541,吃了把正宗的北京烤鸭[哈哈]  北京  ???,39.93586,116.392029,2017/11/25 19:25,2,5,0,
8756229,1956489541-M_FwKE7fjWL,1956489541,分享视频  北京·地安门东大街   小vvv太阳的秒拍视频  ???,39.938431,116.391479,2017/11/25 19:42,2,1,0,
8759020,1956489541-M_FwL6x22QP,1956489541,我和谢霆锋挺有缘，没有特意查，无意间来到他吃过的店，炸酱面味儿确实不错[嘻嘻]  北京·帽儿胡同45号院  ???,39.937031,116.397621,2017/11/25 20:52,0,2,0,
8759237,1956489541-M_FwL8gi3hj,1956489541,和想象中的不同，胡同原来是文艺清新风格[馋嘴]  北京·南锣鼓巷  ???,39.935909,116.400963,2017/11/25 20:56,0,5,0,
8774032,1956489541-M_FwPURAc6s,1956489541,跟随主席的脚步[加油]  北京·庆丰包子铺（中关村北站店）  ???,39.987289,116.316711,2017/11/26 9:07,0,1,0,
8800694,1956489541-M_FwV6EEiH7,1956489541,早上的南锣鼓巷  北京·南锣鼓巷  ???,39.93697,116.40036,2017/11/26 22:19,0,1,0,
8801492,1956489541-M_FwVd6cuHY,1956489541,熏陶了一下[太阳]  北京·帽儿胡同  ???,39.936604,116.399551,2017/11/26 22:35,0,4,0,
8801814,1956489541-M_FwVfRdII5,1956489541,颐和园长廊上的图画都有典故，其中一幅居然描绘的是桃花源，只想说古代人真讲究，每个作品都耐人寻味[爱心]?  北京·帽儿胡同  ???,39.936604,116.399551,2017/11/26 22:42,6,7,0,
8801926,1956489541-M_FwVgEijHE,1956489541,北京最喜欢的地方就是南锣鼓巷，二刷  北京·帽儿胡同  ???,39.936604,116.399551,2017/11/26 22:44,0,2,0,
9460260,1957365980-M_FzYtkhGwH,1957365980,4G网，神速……哈哈  北京·北京首都国际机场  ???,40.082401,116.597382,2017/12/17 0:24,0,0,0,
9511423,1957365980-M_FAcTC99jr,1957365980,自行车][照相机][音乐][憧憬][自行车]  北京·北京王府井励骏酒店  ???,39.915009,116.418961,2017/12/18 13:08,0,1,0,
9568621,1957365980-M_FAr4B5YEN,1957365980,晚安，全世界！[憧憬][耶][心][月亮][爱你][太开心]  北京·王府井  ???,39.918449,116.408569,2017/12/20 1:13,0,1,0,
9661607,1957365980-M_FAR6wdy58,1957365980,故宫……[照相机]  北京·故宫  ???,39.915642,116.396973,2017/12/22 19:29,0,0,0,
9685173,1957365980-M_FAXkPBDX5,1957365980,天圆地方——鸟巢和水立方  北京·北京奥林匹克公园  ???,40.000164,116.350014,2017/12/23 11:21,0,0,0,
9713788,1957365980-M_FB1XB42cV,1957365980,不到长城非好汉……好汉不好当啊，累得半死……哈哈[太开心][照相机][耶]??  北京·万里长城·八达岭  ???,40.356033,116.01387,2017/12/23 23:08,0,0,0,
9735718,1957365980-M_FB88Gn76i,1957365980,照相机][照相机][照相机]  北京  ???,39.89576,116.395073,2017/12/24 14:51,0,0,0,
9736449,1957365980-M_FB8i06e1l,1957365980,照相机][照相机][照相机][照相机]  北京  ???,39.915482,116.411293,2017/12/24 15:14,0,1,0,
9360418,1957576400-M_FzzPQ0rwI,1957576400,双十二买的帽子围巾手套全都寄到广州了  我怎么会这么zz  北京  ???,39.973789,116.35215,2017/12/14 9:41,0,0,0,
9830569,1957576400-M_FBqP7jzkH,1957576400,我希望自己厌食症 一回国就放开了吃真是没救了  北京·三里屯太古里北区N8  ???,39.938541,116.454697,2017/12/26 14:25,2,0,0,
9935661,1957576400-M_FBRPwquRY,1957576400,对不相干人，不谈得意事。  北京·太平桥  ???,39.918179,116.366577,2017/12/29 11:11,3,1,0,
437294,1957808392-M_ErFUmEtIK,1957808392,享受[飞机]?时光 听说[耳朵]要难受 我怎么一点都没感觉呢 着陆啦[得意]  北京·北京首都国际机场  ???,40.067619,116.609039,2017/1/20 11:42,0,0,0,iPhone 6s
439306,1957808392-M_ErGKS5kzQ,1957808392,五点半起床 七点到机场 八点安检完登机 九点出发 十一点半到达 然后一路经过太子党街 逛东二环路 见到了保利集团 保利剧院等，有地下私藏枪火、光明正大的大赌场 、含政治色彩的剧院 ......终于吃上饭了 北京的烤鸭 北京饺子 北京菜 总结特点：淡和甜，还不错，合口味的！第一天就感受到了北京人民的热 ???? 全文,39.884369,116.434464,2017/1/20 13:52,0,2,1,iPhone 6s
444346,1957808392-M_ErIM3uLfG,1957808392,逛了半天 入住宾馆 出去觅食啦 果然 北方人比较热情 好大一碗汤  北京·开阳里六区  ???,39.864929,116.370079,2017/1/20 19:00,0,2,0,iPhone 6s
453427,1957808392-M_ErMXZCr1C,1957808392,第一天 逛了天坛公园，古代皇帝祭祀的场所，大致了解了祭祀流程。然后走了前门大街，游了蜡像馆，还不错哦！  北京·开阳里  ???,39.863392,116.371689,2017/1/21 5:40,0,0,0,iPhone 6s
464498,1957808392-M_ErSvpzqgV,1957808392,北京烤鸭 鸭架汤 ......每天混吃混喝 混得还OK吧  北京·开阳里四区  ???,39.86734,116.369141,2017/1/21 19:46,0,2,0,iPhone 6s
465360,1957808392-M_ErSNxEZjd,1957808392,第二天 六点半爬起来 吃了第一顿东北早餐，尤其是包子皮，特别好吃，又软又有嚼劲。饭后，我们来到了故宫。在毛主席纪念堂，真正感受到了对主席脱帽肃立的瞻仰；知道了龟鹤延年；听说了“无事不登三宝殿”（太和殿……）；了解了“乾清宫”“坤宁宫”由来（天清地宁）；逛了御花园，据说和珅家的花园是 ???? 全文,39.908894,116.404144,2017/1/21 20:31,6,0,0,iPhone 6s
465680,1957808392-M_ErSTzsSNc,1957808392,第二天 第三站 什刹海 湖很美 最值得一提的应该是大型的溜冰场啦 冰很厚实 走在上面一点都没有如履薄冰感 假装溜了一圈[调皮]  北京·地安门  ???,39.937012,116.394852,2017/1/21 20:46,0,0,0,iPhone 6s
465778,1957808392-M_ErSVy7WNe,1957808392,必须要纪念一下[耶]  北京·开阳里  ???,39.863548,116.372017,2017/1/21 20:51,0,0,0,iPhone 6s
465820,1957808392-M_ErSWjEBMs,1957808392,第二天 第二站 北京王府井 让人印象最深刻的便是五元一只的水晶饺，还不如六元的玉米！不过老北京的糖葫芦味道很好哦，已经是一天一根的节奏了！嘿嘿，看到蝎子了吗？你们敢吃吗？[偷笑]反正我只敢拍拍[调皮]北京开口栗子和我们桂花糖炒栗子有的一比哒[调皮]  北京·沙滩  ???,39.923512,116.399918,2017/1/21 20:53,0,3,0,iPhone 6s
471947,1957808392-M_ErWAq7yqY,1957808392,听说北京上班族都是五点起床，六点左右到家的，过着快节奏的都市生活，看来我还是适合小城慢节奏[偷笑]早[睡][睡][睡] #2017再出发#   北京·开阳里  ???,39.86348,116.37149,2017/1/22 6:10,0,1,0,iPhone 6s
472150,1957808392-M_ErWWL452F,1957808392,披星戴月出发了  北京·开阳里  ???,39.862968,116.3731,2017/1/22 7:05,0,1,0,iPhone 6s
472173,1957808392-M_ErWYdcRzr,1957808392,出发啰  北京·右安门  ???,39.86227,116.365936,2017/1/22 7:08,0,1,0,iPhone 6s
476190,1957808392-M_ErZealgqr,1957808392,地道的老北京菜 还不错哦  北京·昌平区  ???,40.287151,116.236053,2017/1/22 12:53,0,1,0,iPhone 6s
481465,1957808392-M_Es1DOaQCM,1957808392,据说来北京都会去的剧场  北京·北京市工人俱乐部电影城   秒拍视频  . ???,39.886646,116.377739,2017/1/22 19:02,0,1,0,iPhone 6s
481504,1957808392-M_Es1EQ1fMG,1957808392,第三天 第一站 八达岭长城 不到长城非好汉 看来我应该算是个好汉  北京·万里长城·八达岭  ???,40.356033,116.01387,2017/1/22 19:04,4,3,0,iPhone 6s
481697,1957808392-M_Es1Ka4VlB,1957808392,第三天 第二站 奥林匹克公园 终于见到了传说中的鸟巢、水立方。龙戏水，凤朝鸟，龙凤呈祥，便是它们的由来！金生水，水生木，顺便了解了一点五行，还挺好玩；一圆一方，一阴一阳，天圆地方，也是设计理念之一。北京之行，不仅仅看多了，还听多了，关键是熏陶多了！[调皮]谢谢骆姐[玫瑰][玫瑰][玫瑰]ps ???? 全文,39.995628,116.389961,2017/1/22 19:17,0,0,1,iPhone 6s
482911,1957808392-M_Es2c75mne,1957808392,随便看看  http://t.cn/RxZj8fG   秒拍视频  . ???,39.862003,116.365349,2017/1/22 20:26,0,0,0,iPhone 6s
482921,1957808392-M_Es2ckrMdG,1957808392,强]  北京·开阳里   秒拍视频  . ???,39.8634,116.371628,2017/1/22 20:27,0,0,0,iPhone 6s
488851,1957808392-M_Es61n3DIR,1957808392,被闹早了[笑cry][笑cry][笑cry]  北京·万里长城·八达岭  ???,40.356033,116.01387,2017/1/23 6:11,0,0,0,iPhone 6s
499276,1957808392-M_EsbIRopmW,1957808392,吃吃吃[笑cry]  北京·开阳里  ???,39.863232,116.365059,2017/1/23 20:42,0,2,0,iPhone 6s
499361,1957808392-M_EsbL1vnkF,1957808392,原来不止咱宁波[有]?鼓楼 北京也有呢 登上鼓楼二楼 正好可以俯瞰中轴线 景山 天安门 故宫等都在线上 顺便了解了一下五行 风水 听着貌似真有那么一回事[调皮]  北京·开阳里  ???,39.863319,116.371582,2017/1/23 20:47,6,1,0,iPhone 6s
499650,1957808392-M_EsbRw0oho,1957808392,坐着三轮车 听着师傅的介绍 走了北京胡同 找到了四个门当 两个户对 走进四合院 品品茶 闻闻香 咱是个有文化的人[偷笑] 姿势还可以吧[呲牙][呲牙][呲牙]  北京·开阳里  ???,39.86338,116.371521,2017/1/23 21:03,0,0,0,iPhone 6s
499883,1957808392-M_EsbXcw14r,1957808392,颐和园 一个很多关于慈禧太后的故事的地方 听的有滋有味的！有一首打油诗特别赞：大人不记小人过，宰相肚里能撑船。你还没死我先死，等你死后我再来！嘿嘿 这是关于这棵树的故事，有兴趣的朋友咱可以私聊哦！[调皮]走过了世界上最长的长廊，最长的画廊，破了世界上迪斯尼纪录呢！还有昆明湖，娘娘庙， ???? 全文,39.8633,116.371651,2017/1/23 21:17,0,1,0,iPhone 6s
500136,1957808392-M_Esc2y4jWB,1957808392,圆明园，万园之园！看着眼前的残垣断壁，回想着曾经过的三次毁灭，昔日的辉煌再也不存。谐奇趣、黄花阵、方外观、海晏堂、大水法、远瀛观、观水法......都在眼前，原来远瀛观是和珅曾为香妃修建的寝宫呢！  北京·圆明园  ???,40.010101,116.304443,2017/1/23 21:30,9,3,0,iPhone 6s
504134,1957808392-M_EseKSuqpc,1957808392,早早早！  北京·开阳里  ???,39.863338,116.371552,2017/1/24 4:25,0,2,0,iPhone 6s
504217,1957808392-M_Esf50oLNE,1957808392,北方的馒头和粥好吃  北京·开阳里  ???,39.862961,116.371643,2017/1/24 5:15,4,1,0,iPhone 6s
504281,1957808392-M_EsffSnY8y,1957808392,披星戴月～  北京·陶然亭  ???,39.870861,116.383408,2017/1/24 5:41,0,1,0,iPhone 6s
